Country,Product,Import_Export,Quantity,Value,Date,Category,Port,Customs_Code,Weight,Shipping_Method,Supplier,Customer,Invoice_Number,Payment_Terms,Total_Value
Algeria,out,Import,644,8173.14,04-08-2021,Toys,East Heatherton,457712,484.56,Sea,Skinner-Raymond,Scott Rollins,88113442,Cash on Delivery,5263502.0
Maldives,since,Export,397,9082.6,19-05-2024,Machinery,Rachelshire,378517,250.82,Sea,Lindsey and Sons,Antonio Delacruz,24018922,Cash on Delivery,3605792.0
Chile,attention,Import,5429,2390.96,16-10-2022,Electronics,Rachelton,980952,3544.65,Sea,Carter Inc,Doris Hamilton,48222323,Prepaid,12980522.0
Sudan,project,Export,958,7991.47,13-01-2020,Machinery,Ryanborough,466681,861.3,Sea,Estes Ltd,Parker Castillo,64794576,Prepaid,7655828.0
United Arab Emirates,identify,Import,5819,7524.03,03-09-2023,Toys,Cooperbury,822493,182.93,Sea,Alvarez PLC,Elizabeth Lopez,41402678,Net 30,43782331.0
Azerbaijan,position,Export,5438,565.74,11-06-2023,Clothing,Erinland,352587,1026.97,Sea,Cruz-Reed,Stephanie Duffy,76401328,Net 30,3076494.0
Luxembourg,result,Import,1619,9511.78,29-02-2024,Clothing,Billyland,233616,2605.19,Air,Wilson-Morales,Timothy White,86890105,Net 30,15399572.0
Dominican Republic,who,Export,4902,1738.89,27-08-2020,Clothing,New Aliciahaven,799709,1272.0,Sea,Bryant-Morrison,Jamie Weber,29742488,Prepaid,8524039.0
Poland,dinner,Export,7295,9449.35,26-04-2020,Electronics,Port Gina,222854,3507.75,Air,Gordon-Mccormick,James Wheeler PhD,99760945,Net 60,68933008.0
Guinea-Bissau,finally,Import,4391,1229.97,28-07-2024,Furniture,New Theresaberg,685765,4827.69,Air,Rivera-Phillips,Grace Lopez,40758579,Net 30,5400798.0
Rwanda,rate,Export,3738,3468.61,05-11-2022,Furniture,Port Nathanielville,869948,4742.52,Sea,"Parsons, Mullins and Green",Michael Kramer,51914403,Net 30,12965664.0
Andorra,statement,Import,5463,7301.11,02-02-2022,Toys,South James,905846,1206.96,Land,"Nguyen, Cardenas and Small",Gary West,96885684,Prepaid,39885964.0
Mauritania,better,Import,5253,2653.6,14-06-2024,Clothing,North Robertaberg,638199,3854.28,Land,Kelley LLC,Dana Ford,26244751,Prepaid,13939361.0
Czech Republic,former,Import,3259,3234.06,30-07-2023,Furniture,New Ana,328638,2741.2,Air,Smith Group,Sean Sanchez,68732759,Cash on Delivery,10539802.0
Seychelles,most,Import,969,9773.32,24-01-2023,Toys,Fitzgeraldberg,562712,4471.94,Land,"Harrison, Parker and Cook",Crystal Taylor,73345664,Net 30,9470347.0
Czech Republic,bank,Export,4183,4852.26,27-01-2021,Machinery,Lynchchester,513478,4502.24,Air,Booth Ltd,Abigail Campbell,31691541,Prepaid,20297004.0
Sierra Leone,thousand,Export,2299,3875.32,02-12-2020,Machinery,Derekberg,112341,4012.93,Land,"Bradley, Rosario and Holt",Dr. Kevin Hunt,44071973,Net 60,8909361.0
Turkmenistan,move,Export,9006,8289.69,27-07-2020,Electronics,Lake Ashleychester,773280,3957.6,Land,"Robbins, Walker and Parsons",Melissa Dickerson,29868776,Cash on Delivery,74656948.0
Central African Republic,side,Import,8008,9470.49,19-07-2023,Clothing,South Kimberlymouth,467728,3841.42,Sea,Hamilton-Hammond,Priscilla Todd,78883419,Prepaid,75839684.0
Iceland,similar,Import,9171,418.42,27-10-2019,Clothing,Potterhaven,625179,626.24,Land,Wright Inc,Stephen Adams,78308217,Cash on Delivery,3837330.0
Libyan Arab Jamahiriya,discover,Export,1785,8777.11,29-02-2020,Furniture,Port Sandra,639588,2485.94,Sea,Porter-Jordan,Courtney Trujillo,26121324,Net 30,15667141.0
Saint Kitts and Nevis,final,Export,1132,1494.23,20-12-2021,Furniture,Cassandrafort,981714,964.07,Land,"Olson, Coffey and Graves",Michael Mora,49858349,Net 60,1691468.0
Mauritius,build,Export,7331,3606.62,18-12-2020,Electronics,Port Angela,304648,2384.54,Land,Williams LLC,Micheal Thomas,73060413,Net 30,26440131.0
Namibia,low,Import,4298,1246.46,19-09-2023,Furniture,Clarkborough,683812,2302.33,Land,Wallace-Morse,Phillip Horn,74867290,Net 60,5357285.0
Jersey,color,Export,9273,5119.71,26-04-2023,Clothing,Rebeccahaven,642878,1980.15,Land,Maldonado-Gray,Brandy Lowe,89155094,Net 60,47475071.0
Kuwait,threat,Export,5836,5868.4,02-03-2021,Machinery,Port Nancy,156800,1233.21,Land,Russell-Reilly,Scott Wise,24134589,Prepaid,34247982.0
Belize,activity,Import,8202,3275.79,19-04-2021,Toys,Johnsonfurt,705789,288.58,Air,"Henderson, Reynolds and Thomas",Randy Murray,61428859,Cash on Delivery,26868030.0
Solomon Islands,cut,Import,6152,6719.56,02-06-2024,Toys,North Morgan,473957,4432.6,Air,"Atkins, Fox and Garcia",Justin Ross,42081637,Cash on Delivery,41338733.0
Puerto Rico,Republican,Import,5851,9538.5,07-03-2024,Toys,East Patrick,258314,3623.6,Sea,Williams-Howe,Colin Weber,74564989,Cash on Delivery,55809764.0
China,good,Import,4389,5807.54,16-12-2020,Furniture,Gravesshire,653461,862.83,Land,Obrien-Walter,Tracey Haney,64408532,Net 30,25489293.0
Guinea,hear,Export,4951,9807.17,22-01-2024,Toys,Jeremychester,759644,1839.68,Air,"Robinson, Owens and Pittman",Mrs. Holly Rivera DDS,19846001,Net 30,48555299.0
Turks and Caicos Islands,day,Import,6952,3297.1,05-02-2020,Clothing,West David,179269,1669.86,Sea,Chapman-Cabrera,Elizabeth Gray,20208214,Cash on Delivery,22921439.0
Uruguay,small,Export,5577,7268.66,29-02-2020,Toys,Port Cheryl,963271,2513.54,Sea,"Davis, Brown and Aguilar",Shannon Olson,1189096,Net 30,40537317.0
Niger,should,Import,1320,5859.73,21-05-2022,Furniture,North Kimberly,599621,65.91,Sea,Mccoy-Henderson,Joel Smith,69829047,Net 60,7734844.0
Equatorial Guinea,million,Export,1834,1621.34,25-03-2021,Toys,Bethfurt,658170,3225.14,Air,Thompson-Miller,Mrs. Jennifer Clay,29872638,Net 30,2973538.0
Malta,cultural,Import,3951,414.71,01-10-2019,Toys,Millerhaven,314497,1119.94,Air,Martinez-Barnett,Veronica Orozco,54019997,Net 60,1638519.0
Saint Vincent and the Grenadines,focus,Import,3267,8312.14,10-03-2024,Toys,Lake Jessica,361867,3228.08,Land,Russell Ltd,Sherri Cummings,53293812,Prepaid,27155761.0
Saint Lucia,risk,Export,6384,5848.6,16-12-2020,Electronics,Traceyville,793678,4305.77,Air,Hayden PLC,Chris Flores,49453506,Prepaid,37337462.0
Kazakhstan,smile,Import,2933,3755.43,23-10-2023,Electronics,Mccluremouth,422593,3969.6,Land,Jones-Dougherty,Paige Rivers,43896424,Net 30,11014676.0
Bhutan,offer,Import,94,9840.21,25-09-2020,Toys,Chrismouth,659129,2498.14,Air,"Griffin, Gordon and Caldwell",Miranda Hernandez,96013834,Net 30,924980.0
Russian Federation,high,Import,9245,5286.0,14-05-2021,Furniture,Port Michaelchester,748896,1356.95,Land,Clark and Sons,Cheryl Cole,36132779,Cash on Delivery,48869070.0
India,mission,Import,280,9247.81,07-02-2023,Machinery,Floydburgh,940858,1929.87,Air,Brown-Campbell,Mark Robles,14337203,Net 30,2589387.0
Timor-Leste,national,Export,9961,574.55,08-11-2022,Clothing,Carrmouth,727312,1345.48,Air,Ellis Ltd,Tammy Hernandez,16427750,Cash on Delivery,5723093.0
Dominica,team,Import,4308,6299.94,27-11-2019,Furniture,Port Neil,147788,1035.43,Land,"Brown, Khan and Davis",Lynn Riley,63685122,Net 30,27140142.0
Nepal,site,Import,6807,1930.5,28-03-2023,Clothing,Floresshire,527475,2638.82,Land,Rogers Group,Randall Morales,76077637,Net 60,13140914.0
Saint Helena,yard,Export,7683,8791.8,11-10-2022,Furniture,Fowlerstad,568323,1106.8,Air,Hoffman-Cruz,Colleen Gray,20448139,Net 30,67547399.0
Moldova,north,Export,3770,2884.4,05-08-2020,Machinery,Port Kevin,646114,2040.62,Air,Brown-Jenkins,Elizabeth Adams,7533873,Net 30,10874188.0
Austria,wear,Import,6215,2839.49,17-08-2022,Furniture,East Benjamin,222032,4616.17,Land,"Fowler, Bailey and Lucero",Kimberly Brown,49070743,Cash on Delivery,17647430.0
Guernsey,good,Export,174,1483.44,19-04-2024,Toys,Melaniebury,887790,32.25,Sea,"Carlson, Washington and Clayton",John Gaines,67889950,Prepaid,258119.0
Poland,support,Import,4319,4262.51,26-12-2019,Toys,Jameschester,327862,3345.81,Sea,Johnson-Alexander,Paul Ruiz,87524230,Net 60,18409781.0
Antarctica (the territory South of 60 deg S),speak,Export,6267,9036.98,28-11-2021,Electronics,New Denisechester,443091,681.94,Land,"Porter, Ford and Johnson",Erica Fowler,70262562,Net 60,56634754.0
China,leave,Import,9372,5128.78,21-01-2021,Toys,South Jamesside,600694,2824.02,Air,Lee PLC,Tracy Greer,11004756,Prepaid,48066926.0
Pakistan,appear,Import,3755,3326.36,26-08-2022,Clothing,East Jeff,205766,4869.57,Sea,Reyes-King,David Wu,11120927,Net 30,12490482.0
Algeria,modern,Import,6750,305.67,14-10-2019,Clothing,West Luisland,535615,3680.88,Land,Jones Inc,Dr. Holly Perez,23981691,Prepaid,2063272.0
Slovenia,quite,Export,8509,708.71,09-08-2023,Furniture,Lake Cynthiaview,499785,205.34,Land,"Hernandez, Wheeler and West",Jim Ramirez,49916520,Net 30,6030413.0
British Indian Ocean Territory (Chagos Archipelago),trial,Import,1349,6881.71,01-07-2023,Machinery,Keithland,509987,2371.09,Land,Richardson-Cole,William Brady,94489583,Prepaid,9283427.0
Australia,deep,Export,975,9947.37,13-05-2022,Furniture,Mooreside,259793,3129.17,Land,Garza and Sons,Brianna Johnson,52197928,Prepaid,9698686.0
Guernsey,here,Import,7567,6274.97,10-02-2024,Electronics,Suarezfort,971752,28.45,Land,Thomas LLC,Andrew Barnes,52890192,Prepaid,47482698.0
Finland,up,Export,3549,6722.99,06-05-2022,Machinery,Stephanieberg,437339,575.14,Land,Oconnor-Brown,Brian Tran,60556121,Prepaid,23859892.0
Sierra Leone,science,Export,9536,7940.64,05-08-2021,Furniture,Charlesberg,356720,234.88,Air,"Harper, Berger and Klein",Frank Stone,2968679,Net 30,75721943.0
Estonia,how,Import,3746,2700.89,18-08-2022,Furniture,Sanchezfurt,864715,1319.2,Land,"Santiago, Estrada and Marquez",Pedro Austin,29098902,Net 60,10117534.0
Benin,hour,Export,1341,4771.68,08-10-2021,Toys,North Sarahville,568884,4880.63,Land,Hobbs Ltd,Allison Frye,30599198,Cash on Delivery,6398823.0
Bahamas,finally,Export,2830,5474.02,08-10-2020,Toys,South Timothymouth,204262,2076.75,Air,Burton Group,Ronald Lewis,31773017,Net 30,15491477.0
Aruba,generation,Import,4492,1377.03,30-12-2022,Toys,North Katherineberg,802817,1197.07,Air,"Montes, Snyder and Yates",William Young,41805306,Net 60,6185619.0
Senegal,small,Export,1214,3093.7,02-06-2020,Electronics,South Brandonfort,231870,130.39,Air,Scott and Sons,Craig Blake,24901184,Cash on Delivery,3755752.0
Belarus,receive,Import,9302,5151.06,17-05-2022,Toys,Joshuatown,533727,1890.77,Sea,"Jackson, Bell and Terrell",Gregory Perez,58031047,Net 30,47915160.0
Swaziland,with,Export,1892,544.2,06-10-2022,Furniture,Moorestad,634881,3668.38,Sea,Cherry-Riddle,Ashley Murphy,6172064,Net 30,1029626.0
Kazakhstan,traditional,Import,4796,6400.35,11-08-2024,Furniture,Port Kevinborough,925723,4474.66,Land,"Rios, Howard and Robinson",Beth Martinez,87738447,Net 30,30696079.0
Madagascar,girl,Export,1088,2703.87,05-07-2020,Furniture,Lake Christopher,648804,395.78,Sea,Allen PLC,Austin Rios,99975534,Net 30,2941811.0
Greenland,environment,Export,7128,8652.53,25-11-2022,Toys,Josephburgh,316553,4176.26,Land,Anderson-Stevens,Blake Underwood,10148211,Net 30,61675234.0
Malaysia,anyone,Export,2127,619.89,17-05-2024,Toys,East Michael,700938,411.02,Air,Hudson Ltd,Daniel Wright,51652957,Prepaid,1318506.0
Hungary,if,Export,6826,1924.66,06-11-2023,Toys,Jamesshire,162845,2615.49,Sea,"Frey, Hunter and Smith",Cynthia Jordan,74947399,Cash on Delivery,13137729.0
Burundi,left,Export,5877,118.01,15-08-2021,Toys,Hendersonfurt,271890,4785.4,Sea,Ruiz-Thomas,Susan Fry,2820582,Net 30,693545.0
French Guiana,meeting,Export,697,324.11,06-11-2023,Electronics,Adamburgh,758859,2434.92,Air,Le Inc,Kristine Sweeney,96704722,Cash on Delivery,225905.0
Wallis and Futuna,stop,Export,1566,4886.1,09-08-2024,Clothing,Angelaburgh,485282,3343.78,Land,"Francis, Drake and Callahan",Terry May,45484764,Cash on Delivery,7651633.0
Mauritius,idea,Export,318,6232.27,21-01-2023,Toys,Rogershire,932455,219.82,Sea,Francis-Martinez,Gordon Smith,38275140,Prepaid,1981862.0
Puerto Rico,party,Import,2357,4303.05,14-02-2022,Toys,Laurafort,379714,2099.16,Air,"Rowland, Buchanan and Mitchell",Marvin Myers,59324022,Cash on Delivery,10142289.0
Belize,standard,Import,8437,8946.12,16-05-2024,Clothing,North Jeremyland,638692,633.26,Air,Duncan PLC,Heather Schroeder,47001845,Prepaid,75478414.0
Swaziland,very,Import,9242,1784.0,13-06-2023,Machinery,Jacksonberg,166764,596.15,Sea,Kennedy-White,Carrie Brooks,61722907,Cash on Delivery,16487728.0
Guinea-Bissau,able,Export,3866,9247.9,04-07-2020,Furniture,New Roberttown,204343,1062.82,Land,"Davis, Ellis and Wong",Preston Harrington,59898421,Cash on Delivery,35752381.0
Togo,green,Export,2735,6566.47,26-07-2020,Electronics,Jordanport,480510,4460.31,Land,"Simmons, Werner and Wade",Nicole Simmons DDS,31186006,Prepaid,17959295.0
Sierra Leone,position,Import,6825,6248.01,07-11-2020,Furniture,West Patricia,642923,1890.88,Land,Boone-Jackson,Adam Watkins,56011427,Prepaid,42642668.0
Nauru,market,Export,7768,6160.61,20-12-2022,Clothing,Lake Kimberlyborough,453568,2678.36,Sea,Morgan Ltd,Kevin Davis,28005904,Net 60,47855618.0
Bolivia,you,Export,8698,9781.52,02-03-2021,Toys,New Heather,612936,4606.17,Land,Whitaker-Roach,Tracy Frost,73807596,Prepaid,85079661.0
Myanmar,partner,Export,1564,8473.36,20-07-2024,Toys,Eatonton,163292,860.95,Land,Estrada Group,Patricia Donovan,50557131,Net 60,13252335.0
Ghana,series,Import,4101,6385.73,06-06-2024,Clothing,Norrisfort,341795,2991.34,Sea,Bell-Hughes,Pamela Green,57238867,Net 60,26187879.0
Iceland,special,Import,4730,2556.01,30-06-2022,Machinery,Vasquezfort,234930,1942.75,Sea,"Smith, Brown and Jordan",Tammy Garcia,31752179,Cash on Delivery,12089927.0
Philippines,really,Import,4443,7690.72,21-04-2021,Furniture,Michelleside,662007,3285.49,Air,Jenkins-Moore,Dr. Amanda Perez,27086084,Net 30,34169869.0
Uganda,different,Export,6613,9117.37,15-07-2022,Clothing,Brookeville,788290,750.69,Sea,"Floyd, Alvarez and Montes",Laura Fleming,67519659,Prepaid,60293168.0
Morocco,conference,Import,4245,543.64,08-04-2023,Furniture,Catherineport,287339,4707.07,Land,"Sherman, Boyer and Myers",Lorraine Edwards,35289153,Net 30,2307752.0
Nigeria,safe,Import,1262,1682.6,25-02-2023,Machinery,Lake Williamhaven,574665,3822.09,Air,Strong PLC,Christopher Lee,98656392,Prepaid,2123441.0
Estonia,take,Export,7013,9391.86,01-11-2022,Furniture,New Alexis,291109,2939.23,Sea,"Brown, Grant and Morrison",Kenneth Gutierrez,66931510,Net 30,65865114.0
Vanuatu,dog,Export,2397,9122.38,24-06-2020,Clothing,Owenhaven,423385,1728.05,Land,Vang PLC,Robert Perez,91321490,Cash on Delivery,21866345.0
Rwanda,organization,Import,314,737.23,27-04-2022,Toys,East Michaelfurt,147963,1879.29,Land,Gates-Yang,Luke Ramirez,27288917,Net 30,231490.0
Thailand,put,Import,8209,8198.56,21-01-2024,Electronics,Debrafort,564832,2687.33,Air,"Roth, Smith and Clarke",Jonathan Smith,53703096,Net 30,67301979.0
Bahamas,itself,Export,1545,2308.21,14-12-2020,Electronics,West Josebury,100625,2785.07,Land,"Dyer, Willis and Gamble",Gary Robertson,28337254,Net 30,3566184.0
United States of America,success,Export,391,969.12,21-05-2024,Electronics,Adamsmouth,254700,3771.28,Air,Perez-Carpenter,Mark Campos,52459361,Net 60,378926.0
Serbia,Mr,Export,4079,5938.56,15-02-2024,Toys,Chaseberg,890607,362.12,Land,Hall-White,Danielle Johnson,75395274,Net 30,24223386.0
Guernsey,science,Export,2494,6337.69,10-01-2022,Toys,North Joan,356725,51.65,Air,Stafford-Coleman,Arthur Kelly,35059102,Prepaid,15806199.0
Afghanistan,suggest,Export,6710,9232.59,11-07-2023,Machinery,Cynthiafort,609756,3040.85,Sea,"Beck, Pena and Boone",Paul Castillo,35347958,Net 30,61950679.0
Serbia,power,Import,509,7184.46,15-01-2020,Machinery,New Susanside,788924,2858.16,Land,Whitaker and Sons,Samantha Hall,90553981,Prepaid,3656890.0
Turks and Caicos Islands,lay,Import,6993,7969.56,16-06-2024,Electronics,Jonesshire,145536,4126.27,Air,"Munoz, Maxwell and Robinson",Barbara Roy,7297700,Cash on Delivery,55731133.0
Martinique,service,Import,3295,305.75,02-05-2022,Toys,Johnmouth,834834,2158.97,Sea,"Watts, Robles and Cox",Christopher Brock,90893304,Cash on Delivery,1007446.0
Lao People's Democratic Republic,discussion,Import,8574,1230.06,22-08-2022,Clothing,Lake Heather,900954,4893.54,Air,"Mills, Wright and Morrow",Daniel Miller,84075459,Net 30,10546534.0
Lithuania,wide,Export,2841,5998.63,28-06-2024,Toys,Nelsonton,848700,835.9,Air,Garcia-West,Kimberly Davis,41593040,Prepaid,17042108.0
Kenya,owner,Import,9503,7245.04,08-06-2022,Furniture,South Melissa,846235,4385.6,Land,"Blackburn, Hernandez and Parks",Diane Dawson,70123157,Net 60,68849615.0
United Arab Emirates,themselves,Import,7210,6968.04,26-11-2019,Machinery,Lake Brittanymouth,609075,429.03,Land,"Schwartz, Khan and Smith",Rebecca Rivera,94892889,Prepaid,50239568.0
Sudan,amount,Export,59,1658.32,05-05-2022,Clothing,South Kellyburgh,255775,405.56,Land,Hawkins-Arroyo,Bridget Martinez,97114125,Net 60,97841.0
Canada,would,Export,8111,5151.59,08-02-2023,Clothing,Fischerchester,275632,2636.59,Air,"Howard, Wilkinson and Sparks",Diane Giles,54936757,Net 30,41784546.0
Cocos (Keeling) Islands,any,Import,8394,4582.97,03-02-2023,Machinery,Mcguireville,174789,2768.55,Land,Porter Inc,Kristina Hayes,88988469,Net 60,38469450.0
Bangladesh,while,Import,3766,7988.35,08-02-2020,Machinery,Susanchester,137706,1263.28,Air,Joseph Ltd,Miss Emma Vang,82046754,Cash on Delivery,30084126.0
Guatemala,keep,Export,9018,1117.4,30-04-2023,Clothing,North Patrickside,547575,2188.0,Sea,"Burnett, Walls and Zimmerman",John Arnold,51638725,Cash on Delivery,10076713.0
Mozambique,marriage,Import,4223,5516.16,15-03-2024,Toys,New Larrybury,420732,3245.31,Air,Meyers Ltd,Gloria West,84796596,Net 30,23294744.0
Belgium,require,Export,7862,9950.96,15-03-2020,Electronics,Laurenmouth,537519,674.92,Sea,Black Group,Trevor Lloyd,74573314,Net 30,78234448.0
France,write,Export,1838,7793.37,10-10-2021,Electronics,Lake Patriciastad,595638,3376.66,Air,Daniels-Grant,Amanda Carroll,35145954,Net 60,14324214.0
Cook Islands,field,Import,9994,9143.78,04-03-2022,Clothing,West Austinburgh,757745,3515.65,Sea,Stephenson-Ortiz,Lisa Garza,56999938,Net 30,91382937.0
Guatemala,other,Import,1500,7775.9,03-11-2019,Toys,West Christopher,976250,3737.95,Sea,Rivera and Sons,Joshua Pratt,16636062,Net 30,11663850.0
Tuvalu,medical,Export,7244,3476.0,13-01-2022,Machinery,New Joshuaton,138129,1661.74,Air,"Waters, Ray and Gilmore",John Jones,28494468,Prepaid,25180144.0
Palestinian Territory,again,Export,3439,4749.48,11-04-2024,Toys,Candiceshire,673686,4353.58,Sea,Ray LLC,Catherine Walker,64561175,Prepaid,16333462.0
Tajikistan,per,Export,7118,6284.1,09-12-2023,Machinery,Amandastad,393913,1479.37,Air,"Harris, Eaton and Edwards",Larry Mendez,6915647,Net 60,44730224.0
Lithuania,financial,Export,8175,5851.14,23-12-2021,Toys,New Kellyton,874824,2736.37,Sea,Smith-Solomon,Eric Patel,85550830,Net 30,47833070.0
Suriname,me,Import,1031,5561.58,15-06-2024,Furniture,Shannonport,464342,4505.21,Sea,Knapp-Miller,Patricia Mcknight,58784209,Prepaid,5733989.0
Gabon,attention,Import,9883,417.66,12-11-2019,Machinery,Port Brendan,702106,546.14,Land,Salazar and Sons,Raymond Murray,70843941,Prepaid,4127734.0
Azerbaijan,strategy,Import,9465,962.44,26-03-2021,Furniture,North Kaitlynhaven,570318,4697.21,Land,Allen Ltd,Sean Griffin,3285072,Net 60,9109495.0
Tajikistan,individual,Export,4436,4552.9,28-02-2021,Clothing,Frankland,881629,1293.61,Land,Johnson-Burke,Carly Henderson,33099619,Net 30,20196664.0
El Salvador,contain,Export,7932,3569.98,08-09-2019,Toys,West Brandymouth,140199,4164.44,Sea,Martin Group,Denise Abbott MD,88118662,Prepaid,28317081.0
India,fast,Export,6547,9678.37,28-06-2024,Furniture,Angelaside,956567,2711.75,Sea,Valenzuela-Hill,Jose Howard,3885767,Net 60,63364288.0
Swaziland,someone,Export,4152,1576.36,23-08-2020,Electronics,Kathrynmouth,274339,2287.13,Sea,Cowan and Sons,Crystal Gilbert,86045826,Cash on Delivery,6545047.0
Lao People's Democratic Republic,war,Import,4571,237.52,30-06-2024,Machinery,Michaelview,558559,2097.43,Sea,Estrada-Brown,Richard Carrillo,24669740,Prepaid,1085704.0
Jersey,recently,Export,4910,2409.49,30-04-2020,Toys,Lawsonbury,353399,4717.31,Sea,"Romero, Bruce and Myers",Anthony Cox,63390125,Prepaid,11830596.0
Bosnia and Herzegovina,already,Export,5791,8965.85,09-08-2022,Toys,West Joshuaville,195410,3202.14,Land,White PLC,Michelle Cortez,90045529,Net 30,51921237.0
Gambia,deal,Export,7543,7848.54,12-06-2023,Clothing,Millerside,647685,4144.26,Air,"Stanley, Brown and Martinez",Kristy Henderson,65393702,Cash on Delivery,59201537.0
Serbia,nearly,Import,3796,5296.85,30-10-2023,Electronics,East Philipshire,135877,2196.68,Land,"Reyes, Koch and Nolan",Courtney Hall,62430036,Net 30,20106843.0
Syrian Arab Republic,along,Export,3744,9541.6,19-09-2019,Clothing,North Devin,870246,1953.11,Air,"Thompson, Thomas and Garcia",Kathryn Miller,3308738,Cash on Delivery,35723750.0
Turks and Caicos Islands,perhaps,Export,1803,4559.39,05-12-2020,Machinery,East Dean,663888,1607.13,Land,"Snyder, Wilson and Keller",Robert Valenzuela,23399136,Net 60,8220580.0
Algeria,get,Export,9723,7576.69,07-06-2024,Electronics,West Jessicastad,344260,1024.22,Sea,Curry-Castro,Danielle Mccarty,41591416,Prepaid,73668157.0
Saint Helena,morning,Import,1402,4652.48,22-07-2021,Machinery,Michealside,941475,1809.69,Air,"Webb, Thompson and Sanders",Joanne Knox,6697984,Prepaid,6522777.0
Vanuatu,discuss,Export,7185,5352.73,29-06-2023,Electronics,Patriciamouth,121985,4052.85,Land,Henson Group,Bradley Nunez,94888027,Net 60,38459365.0
Nicaragua,computer,Export,3501,2812.3,14-05-2021,Furniture,West Kelly,563352,1890.26,Sea,Gonzalez-Oliver,Madison Frazier,3792759,Prepaid,9845862.0
Burundi,test,Export,3114,3509.15,18-06-2022,Toys,North Rodneyfort,467912,3774.1,Sea,"Brooks, Morgan and Preston",Teresa Reed,88660333,Net 30,10927493.0
Tuvalu,these,Export,8913,2488.54,28-02-2022,Furniture,South Heather,894221,3121.32,Air,Newman PLC,Kevin Frye,43607946,Net 30,22180357.0
Grenada,treat,Export,4602,7345.94,24-12-2021,Machinery,South Davidville,722531,1303.91,Sea,Frost and Sons,Sarah Marks,80941163,Net 60,33806016.0
Rwanda,quickly,Export,1845,4494.52,23-11-2020,Machinery,Port Brianton,980739,121.78,Air,"Cook, Brooks and Evans",Sabrina Ramirez,47830647,Prepaid,8292389.0
Russian Federation,poor,Export,2865,8425.13,10-07-2022,Clothing,Johnsonmouth,550130,610.02,Sea,Lopez-Zuniga,Bruce Bryant,41431437,Net 60,24137997.0
Cyprus,throughout,Export,9364,2818.57,10-06-2021,Clothing,East Robertview,200265,1969.38,Sea,"Flores, Cruz and Wyatt",Nicole Gibson,59321562,Net 30,26393089.0
Singapore,detail,Import,533,8851.7,09-07-2021,Clothing,East Susan,839720,272.92,Sea,"Cummings, Graves and Hill",Jessica Collins,44344156,Net 30,4717956.0
Greenland,fund,Export,4018,354.35,22-12-2022,Electronics,Catherineshire,758916,4791.45,Air,Moore and Sons,Amanda Hall,28026696,Net 60,1423778.0
Russian Federation,tonight,Import,5807,178.96,16-02-2021,Clothing,Marksstad,316380,1270.89,Land,Martin and Sons,Reginald Warren,79189920,Net 30,1039221.0
Tanzania,apply,Export,6777,8190.3,21-06-2024,Clothing,Petersonview,438899,3094.54,Land,"Anderson, Davis and Herrera",Charles Robinson,69775783,Net 60,55505663.0
San Marino,politics,Export,643,4162.79,16-12-2022,Furniture,Rodriguezport,756230,3605.38,Land,Armstrong-Holmes,Dylan Kline,74949313,Net 30,2676674.0
Brunei Darussalam,another,Export,4832,2148.95,26-02-2021,Clothing,Garciaborough,829349,391.52,Air,Johnson Group,Mrs. Cindy Anderson,37544458,Net 60,10383726.0
Lithuania,could,Export,136,1977.71,27-12-2022,Machinery,New Robinchester,494602,328.93,Sea,"Cunningham, Travis and Mercado",Jill Galloway,21832438,Cash on Delivery,268969.0
Equatorial Guinea,still,Import,936,1589.15,23-10-2021,Toys,New Jeremy,364933,7.11,Sea,Perez-Brooks,Elizabeth Case,31253655,Net 30,1487444.0
Mali,society,Import,1096,2078.25,12-08-2023,Clothing,Pruitthaven,165039,3709.21,Air,Fisher PLC,Rebecca Hamilton,80639865,Net 30,2277762.0
Bangladesh,phone,Export,4387,4000.54,13-05-2021,Machinery,North Shelbyside,765331,614.64,Sea,Stewart Group,Richard Bradford,75951716,Net 30,17550369.0
Tonga,reduce,Import,9459,7237.51,26-03-2024,Toys,Victorchester,526099,2382.99,Air,Ingram-Wilson,Troy Williams,71434124,Net 60,68459607.0
United States of America,yard,Export,7659,1861.06,18-04-2023,Furniture,West Elizabethshire,322288,1507.87,Land,Garcia-Green,Nancy Rodriguez,2766849,Cash on Delivery,14253859.0
Libyan Arab Jamahiriya,report,Import,683,6512.19,16-05-2021,Toys,Lake Timothy,495374,2049.08,Sea,Baker LLC,Donna Diaz,66629887,Cash on Delivery,4447826.0
Tajikistan,in,Export,3977,1681.36,15-04-2020,Electronics,West Michael,814886,1842.96,Sea,"Chandler, Rivera and Cook",Gloria Wood,62364382,Prepaid,6686769.0
Azerbaijan,world,Import,1287,2627.47,26-07-2020,Furniture,Victoriaton,105354,3840.85,Sea,"Johnson, Jones and Suarez",Anthony Yu,14499240,Cash on Delivery,3381554.0
Fiji,thus,Import,2909,9903.86,15-12-2019,Clothing,Barnesshire,333114,738.67,Air,Romero Inc,Loretta Brooks,64439332,Net 30,28810329.0
Taiwan,least,Export,6863,9328.85,12-03-2023,Machinery,Greggside,213928,1701.94,Sea,Frank Ltd,Sharon Rodriguez,37621045,Prepaid,64023898.0
Ukraine,toward,Import,4532,1013.65,29-08-2024,Clothing,North Cynthiaborough,874273,3620.85,Air,Raymond-Adams,Peter Martin,95352281,Prepaid,4593862.0
